Author_Name,Author_ID
Yuefeng Zheng,1845635.0
Yang Lu,2314787559.0
Daniil Kononenko,145508283.0
Yaroslav Ganin,2825246.0
Diana Sungatullina,2690172.0
V. Lempitsky,1740145.0
K. Teo,2049054624.0
B. B. T.,1818234319.0
Jianying Zhou,2143470218.0
Jer-Ming Chen,5463433.0
Astha Sharma,2109624445.0
T. Hoque,1687728.0
Elias Ioup,2456955.0
M. Abdelguerfi,2928835.0
Antonio Valerio Miceli Barone,3282877.0
B. Haddow,2259100.0
Ulrich Germann,50655248.0
Rico Sennrich,2082372.0
L. Tang,2144568807.0
K. Ho,2253276850.0
Caizhuang Wang,23206303.0
Md Sumon Gazi,2296471968.0
Ayan Barua,2336458846.0
Fazle Karim,2339931706.0
Md Ismail Hossain Siddiqui,2345821727.0
Niropam Das,2343041314.0
Md Raisul Islam,2339219483.0
MD Abdul Fahim Zeeshan,2343649881.0
Md Anisur Rahman,2339220785.0
Md Abdullah Al Montaser,2345849896.0
Eve S Shalom,2265473695.0
Amirul Khan,2265520885.0
S. van Loo,40564012.0
S. Sourbron,2237754404.0
Ma’mon M. Hatmal,13411193.0
W. Alshaer,10394554.0
I. Mahmoud,35868722.0
Mohammad A. I. Al-Hatamleh,1412797280.0
H. J. Al-Ameer,2132924372.0
Omar Abuyaman,8176300.0
M. Zihlif,4324998.0
Rohimah Mohamud,3859485.0
Mais Darras,87011304.0
Mohammad A. Al Shhab,51173141.0
Rand Abu-Raideh,2132941884.0
Hilweh Ismail,2134751475.0
A. Al-Hamadi,2064082543.0
A. Abdelhay,2017132416.0
Zheshu Jia,1471683275.0
Deyun Chen,2363528.0
Mark J. J. P. van Grinsven,8973988.0
Y. Lechanteur,3734741.0
Johannes P. H. van de Ven,48463317.0
B. van Ginneken,123637526.0
C. Hoyng,3395690.0
T. Theelen,2131352.0
C. I. Sánchez,144085811.0
Sitao Min,2298077620.0
H. Asif,32917482.0
Jaideep Vaidya,2260631065.0
Eleftherios Avramidis,2837687.0
M. Secujski,1686270.0
N. Jakovljević,143780630.0
Nikola Simić,2148289458.0
V. Delić,1693523.0
Lidija Krstanović,1992555.0
Tijana V. Nosek,1491237881.0
Branislav M. Popović,2080499728.0
S. Suzic,38773650.0
Vuk Stanojev,2277549395.0
S. Puttinaovarat,3364814.0
Paramate Horkaew,3343817.0
Soran Hamad,2295761535.0
S. Askar,3093729.0
Farah Sami Khoshaba,2315367092.0
S. Maghdid,1396411124.0
Nihad Abdullah,2295763566.0
A. Tuerk,50459267.0
Amine Barrak,51170193.0
Ellis E. Eghan,3379298.0
Bram Adams,143612725.0
Yuan Lan,1770395.0
Y. Soh,145850486.0
G. Huang,145678691.0
S. Nagendram,1573361268.0
M. Nag,11728316.0
S. Kalyan,144256374.0
Ho Zi Rui,2343930978.0
Tan Ying Chien,2343924351.0
Loo Xin Ee,2343930877.0
Cheong Wei San,2343932648.0
Law Teng Yi,2330133086.0
Abhigya Mahajan,114806010.0
Baijnath Kaushik,34788773.0
Qinpeng Liao,2221758468.0
Huangling Gu,2311614945.0
Chongchong Qi,2249624113.0
Jin Chao,2167286367.0
Wenping Zuo,2221537054.0
Junqin Liu,2311457601.0
Chen Tian,2311816196.0
Zhang Lin,2311457269.0
Chen Li,
Ying Hua,47029485.0
D. Pan,145351366.0
Lulu Qi,2156153119.0
Chaogeng Xiao,5156240.0
Yongzhao Xiong,51266051.0
Wenjing Lu,2111609309.0
Ya-li Dang,10915901.0
Xinchang Gao,2027016864.0
