Author_Name,Author_ID
F. Bray,143607197
Roosa Lintuaho,2193206547
M. Saltychev,6054921
J. Pentti,143668714
J. Vahtera,6874028
S. Stenholm,3025552
Xueling Yan,11529566
Wenjing Wu,51386990
Xiaoqin Chen,2222356812
Guangming Xu,46538516
Shule Yu,2116619471
Shengyan Li,12373960
Shahla Ayoubi-Mahani,2220352117
Maryam Eghbali-Babadi,7232910
Z. Farajzadegan,5869701
M. Keshvari,3932006
Jamileh Farokhzadian,3480959
Filipe Rodrigues,143791184
A. Monteiro,145264944
Pedro Forte,40638259
P. Morouco,152134938
Rongfang Deng,2209402600
Yijia Shi,2107181747
Ruilin Zhang,2326800256
Tianshu Feng,1863126
Yuxi Shang,2053234722
Zhongxian Wu,2146080353
Xiaoyu Du,2184116979
Yanbin Jiang,2157837903
Beibei Ma,2144041057
Meihong Chi,2184102909
Q. Ng,35179317
Shu Rong Lim,2149162384
C. E. Yau,2170997961
T. Liew,7699551
Maria Casagrande,2066358958
G. Forte,47944551
F. Favieri,67123587
Ilaria Corbo,2156292912
J. Qiu,144295612
Dingyuan Liu,2176603606
Zepeng Liu,2181059148
Taryn Amberson,1904651437
Tara N Heagele,14261718
Tamar Wyte-Lake,2287861177
M. Couig,15613028
Sue Anne Bell,2275787635
Manoj J Mammen,2287853874
Valerie Wells,2287845961
J. Castner,2276418397
O. Ndayishimiye,2276418400
Quanah Yellow Cloud,2209149702
Rachel Moyal-Smith,2031684833
Daniel J. Barnett,2262339023
Eric S. Toner,2262338470
Jill A. Marsteller,2262338034
Christina T. Yuan,2262274882
S. Subroto,2096118935
Ranjan Datta,1380666951
Peng Chen,2218290593
Wei Zhai,2007035418
Xiankui Yang,2161229723
Brielle Lillywhite,2188528274
G. Wolbring,2210966
Julia Adler-Milstein,1399154113
Nakul Aggarwal,70609319
M. Ahmed,80917719
J. Castner,2000172
Barbara J Evans,2080442054
Andrew A. Gonzalez,123247020
C. A. James,1705464769
Steven Lin,2186249534
K. Mandl,144896263
M. Matheny,3502898
M. Sendak,47057856
C. Shachar,14912375
Asia Williams,2186305991
A. Viceisza,97923578
Amaia Calhoun,2261913985
Gabriella Lee,2262086036
Miyong T. Kim,3902073
Elizabeth M. Heitkemper,2297611884
Emily T. Hébert,4849807
Jacklyn Hecht,153347604
Allison D. Crawford,2061447907
Tonychris O. Nnaka,15683258
Tara Hutson,2176761507
H. Rhee,5516641
Kavita Radhakrishnan,39283702
Amy Francis,2279990447
Colin Campbell,2279991537
Tom Gaunt,2279990390
Ian Hoskins,1945825352
Shilpa Rao,2228620589
Charisma Tante,2230125020
Can Cenik,2242933
Luis R. Nassar,1400938280
G. Barber,34965960
Anna Benet-Pagès,2078304529
J. Casper,2054480233
H. Clawson,2029732
M. Diekhans,2671293
Clay Fischer,153238913
Jairo Navarro Gonzalez,115487091
A. Hinrichs,32637701
Brian T. Lee,31082793
Christopher M. Lee,96930029
Pranav Muthuraman,2136891737
Beagan Nguy,2136887943
Tiana Pereira,2136712913
Parisa Nejad,145971508
Gerardo Perez,2139967149
B. Raney,3144427
Daniel Schmelter,1402950943
M. Speir,2518811
B. Wick,1382603585
A. Zweig,49564559
David Haussler,2237647760
R. Kuhn,7586694
M. Haeussler,48613597
W. Kent,113370706
Manuel Solis-Moruno,1398452360
Laura Batlle-Masó,1422120326
Núria Bonet,4964636
J. Aróstegui,144374938
F. Casals,2753864
Zhaozhao Zhao,2128155015
Qiushi Xu,2128703090
Ran Wei,145064542
Leihuan Huang,13771885
Weixu Wang,2108515584
Gang Wei,144268497
T. Ni,2952927
D. Raimondi,2711044
Antoine Passemiers,2046866685
P. Fariselli,1785465
Y. Moreau,1732750
Mark F. Rogers,33870088
Tom R. Gaunt,2261094
Colin Campbell,152236425
Jun Sung Park,115539897
Junehawk Lee,2146054815
E. S. Jung,2053481867
Myeong-Heui Kim,7015669
I. Kim,2219391794
Hyeonju Son,2053771971
Sangwoo Kim,2155626671
Sanghyeon Kim,87586039
Y. Park,30455726
I. Mook-Jung,1398189559
S. Yu,34962707
Jeong Ho Lee,2170541919
Melissa A. Chiasson,5811842
Maitreya J. Dunham,2952743
A. Rettie,4961985
D. Fowler,2948893
I. Martincorena,2748985
Inah Jeon,2334612
E. Papalexakis,3000659
C. Faloutsos,1702392
Lee Sael,11147580
U. Kang,1699590260
Tiantian Liu,2115346625
Zhiyi Fang,1801534
Chen Zhao,144851415
Yingmin Zhou,2118861686
Jiexiong Tang,2967405
Chenwei Deng,7175017
G. Huang,145678691
Tao Dou,2076203091
Xu Zhou,48667429
U. Kang,23987228
Zuo Bai,2612408
L. L. C. Kasun,2996971
C. Vong,1807914
Gao Huang,143983679
Shiji Song,1760750
Keyou You,3527062
Wei Zhu,2152349909
Yin Wei,2112557522
Huan Xiao,2169418333
M. A. Kumar,4386412
M. Gopal,153794844
J. Pärkkä,40176753
L. Cluitmans,2151307
M. Ermes,3055296
Masayuki Karasuyama,1949261
I. Takeuchi,48050268
Christopher P. Diehl,2343537157
G. Cauwenberghs,2702388
Rong Xiao,2069928592
Jicheng Wang,2109533222
Fuyan Zhang,2118587842
Helin Gong,2256271644
Han Li,2296027988
Dunhui Xiao,2296038397
Sibo Cheng,2296434632
Shengli Chen,2118528849
Tianxiang Wang,49981006
Zhong Zhang,2211169463
Runfeng Li,48881972
Su Yuan,2211114551
Ruiyi Zhang,1940556
C. Yuan,93831130
Chunyu Zhang,2124626906
Jianyu Zhu,2141497511
Helin Gong,23222905
Sibo Cheng,9537080
Zhang Chen,2144298370
Qing Li,2152983129
César Quilodrán-Casas,2177365374
Dunhui Xiao,2055391858
Rossella Arcucci,2058854
Jiahang Su,79407119
Jun Wu,2146665869
Side Hu,148061414
H. Rajaguru,1850290
S. Prabhakar,47393850
F. Michel-Sendis,1413994439
I. Gauld,2106505
J. S. Martínez,2216998331
C. Alejano,93075985
M. Bossant,69064787
D. Boulanger,145614302
O. Cabellos,100989462
V. Chrapčiak,103604053
J. Conde,145637488
I. Fast,46727177
M. Gren,91035884
K. Govers,92359866
M. Gysemans,49156104
V. Hannstein,14595157
F. Havlůj,71244348
M. Hennebach,92225956
G. Hordósy,2753997
G. Ilas,67039093
R. Kilger,92608268
R. Mills,47888696
D. Mountford,8682461
P. Ortego,15745871
G. Radulescu,3333958
M. Rahimi,93488033
A. Ranta-aho,1448547386
K. Rantamäki,91536880
B. Ruprecht,2064463094
N. Soppera,70017330
M. Stuke,153191217
K. Suyama,92408389
S. Tittelbach,1393041082
C. Tore,50642292
S. Winckel,145327191
